F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s12 	 s 	 d 
MZ22515332	MZ22501915	9	0.2720	0.3014	0.4356	0.2972	0.1384	
MZ22530504	MZ22512500	19	-0.5000	0.5549	0.9091	0.4590	0.4501	
MZ22508920	MZ22528502	20	0.5726	0.2530	0.5982	0.5407	0.0575	
MZ22500582	MZ22505208	111	0.5867	0.6284	1.0000	0.6025	0.3975	
MZ22517451	MZ22529812	1	0.9839	-0.5000	0.9500	0.8355	0.1145	
MZ22515019	MZ22500188	1	0.9831	-0.1731	0.1302	0.3309	-0.2007	
MZ22503218	MZ22504381	15	0.8570	0.1202	0.3746	0.6007	-0.2262	
MZ22512952	MZ22527054	12	0.8691	-0.1955	0.5884	0.6917	-0.1032	
MZ22515266	MZ22500923	5	0.0257	-0.3204	-0.3773	-0.2695	-0.1079	
MZ22527445	MZ22530779	14	0.1456	0.1925	1.0000	0.1560	0.8440	
MZ22519720	MZ22503712	108	0.1993	0.1161	0.9881	0.1369	0.8512	
MZ22514990	MZ22514715	20	0.3142	-0.0089	-0.1241	0.1622	-0.2863	
MZ22517103	MZ22510301	3	0.1112	-0.0306	0.0986	0.0279	0.0707	
MZ22514467	MZ22511198	4	-0.0177	0.0367	-0.1719	0.0004	-0.1723	
MZ22521580	MZ22511417	1	0.6622	-0.5000	0.7080	0.0811	0.6269	
MZ22502584	MZ22509447	2	-0.1123	0.3213	0.0266	-0.0622	0.0889	
MZ22527889	MZ22504706	6	0.9695	0.6338	0.6486	0.7113	-0.0627	
MZ22510798	MZ22525398	10	0.0404	0.6561	0.4762	0.5933	-0.1171	
MZ22524543	MZ22521653	27	0.8955	0.9203	1.0000	0.9083	0.0917	
MZ22510496	MZ22526136	4	0.3593	0.6957	0.3673	0.4394	-0.0722	
MZ22524755	MZ22518678	17	0.9445	0.7541	1.0000	0.8522	0.1478	
MZ22502478	MZ22510450	93	0.0682	0.2349	0.2196	0.0942	0.1254	
MZ22520960	MZ22529544	6	0.0363	-0.5000	0.2435	-0.1169	0.3604	
MZ22502290	MZ22502097	1	0.9956	0.9984	1.0000	0.9969	0.0031	
MZ22526125	MZ22510721	5	0.8085	0.9882	0.9375	0.9209	0.0166	
MZ22504843	MZ22507941	7	0.9920	0.8983	0.9383	0.9295	0.0087	
MZ22526021	MZ22518953	2	0.9866	0.9313	0.9296	0.9552	-0.0256	
MZ22528195	MZ22502519	9	-1.0000	0.2218	0.7638	0.0996	0.6642	
MZ22521773	MZ22501991	12	0.9342	0.4202	0.4056	0.6621	-0.2565	
MZ22500060	MZ22528362	36	0.2134	0.2239	0.3856	0.2145	0.1711	
MZ22526456	MZ22526669	59	0.5646	0.6807	0.8951	0.6203	0.2748	
MZ22510426	MZ22526602	4	0.9483	0.9820	0.9516	0.9613	-0.0097	
MZ22526336	MZ22512144	11	0.3253	0.3709	-0.0827	0.3419	-0.4246	
MZ22501557	MZ22508400	41	0.4259	0.8667	0.8421	0.4839	0.3582	
MZ22500765	MZ22511381	17	0.9607	0.9648	1.0000	0.9628	0.0372	
MZ22506816	MZ22528032	6	0.0871	0.0463	-0.0472	0.0708	-0.1181	
MZ22502705	MZ22510033	16	0.8929	0.9706	1.0000	0.9295	0.0705	
MZ22517165	MZ22515626	18	0.3895	0.2039	0.0674	0.3016	-0.2342	
MZ22506006	MZ22523720	54	0.0615	0.1437	0.9545	0.0727	0.8818	
MZ22527441	MZ22525219	2	-0.6667	0.4664	0.7143	0.2236	0.4907	
MZ22500028	MZ22528522	42	0.1024	-0.1137	0.0873	0.0836	0.0037	
MZ22507264	MZ22520772	1	0.1961	0.1774	-0.1216	0.1898	-0.3114	
MZ22502674	MZ22524896	76	0.1825	0.3892	0.0922	0.2185	-0.1263	
MZ22522977	MZ22523291	37	0.7307	0.8072	0.9389	0.7662	0.1727	
MZ22524334	MZ22527635	8	0.8359	0.9299	0.9600	0.8622	0.0978	
MZ22510136	MZ22508696	99	0.4762	0.0976	-0.0777	0.2974	-0.3751	
MZ22530531	MZ22511365	1	-0.5000	0.9346	0.7846	0.7836	0.0011	
MZ22526531	MZ22510134	52	0.6408	0.0455	-0.0162	0.1305	-0.1467	
MZ22518392	MZ22516976	140	0.5031	0.7567	0.4385	0.6334	-0.1948	
MZ22525197	MZ22525575	9	0.2681	0.0793	-0.1001	0.1737	-0.2738	
MZ22504245	MZ22523913	14	0.1152	0.9730	0.2452	0.5026	-0.2574	
MZ22518579	MZ22515609	52	0.8269	0.7246	0.9562	0.7661	0.1901	
MZ22525846	MZ22508211	60	0.5323	0.2428	0.4156	0.3715	0.0441	
MZ22506833	MZ22506425	5	0.0363	0.8313	0.2796	0.3697	-0.0901	
MZ22508756	MZ22517741	14	-0.2410	0.8716	0.5684	0.5378	0.0305	
MZ22511524	MZ22500314	97	0.3091	0.2141	0.1721	0.2438	-0.0716	
MZ22507016	MZ22521698	18	0.3971	0.3711	0.0485	0.3841	-0.3356	
MZ22526216	MZ22500528	95	0.1304	0.2202	0.1217	0.2015	-0.0798	
MZ22526352	MZ22522227	1	-0.3333	-0.1429	0.2000	-0.2000	0.4000	
MZ22500036	MZ22500623	12	0.8915	0.7044	0.6596	0.8070	-0.1474	
MZ22504077	MZ22500916	89	0.5825	-0.1856	0.4504	0.0339	0.4165	
MZ22509548	MZ22500650	167	0.3553	0.2939	1.0000	0.3136	0.6864	
MZ22527853	MZ22503871	32	-0.1693	0.5947	0.4524	0.4855	-0.0331	
MZ22510088	MZ22515734	16	0.9744	0.6730	0.9091	0.8374	0.0717	
MZ22526862	MZ22518515	41	0.5186	0.5586	0.7709	0.5452	0.2257	
MZ22526863	MZ22520344	8	0.9667	0.8292	0.8315	0.8770	-0.0456	
MZ22512338	MZ22507448	4	-0.2289	-0.3604	-0.4099	-0.2648	-0.1451	
MZ22506026	MZ22501343	108	-0.1168	0.1090	0.1420	0.0526	0.0894	
MZ22501659	MZ22527906	7	0.2103	0.8531	0.1001	0.2980	-0.1978	
MZ22517859	MZ22529000	44	-0.0857	0.1256	0.9143	-0.0695	0.9838	
MZ22506305	MZ22525653	12	0.5587	-0.6667	0.3798	0.3424	0.0373	
MZ22508352	MZ22511460	5	0.9889	0.9684	0.9783	0.9792	-0.0009	
MZ22506020	MZ22525902	48	0.5480	0.1794	0.9524	0.4778	0.4746	
MZ22521250	MZ22527915	52	0.1422	0.0905	0.9618	0.1300	0.8318	
MZ22530571	MZ22511066	3	0.5789	0.5564	0.2745	0.5602	-0.2857	
MZ22528383	MZ22528104	2	-1.0000	-1.0000	-0.6907	-1.0000	0.3093	
MZ22500944	MZ22501346	2	0.7765	0.8721	0.8699	0.8282	0.0417	
MZ22506386	MZ22517398	1	0.8424	0.7281	0.7486	0.7904	-0.0418	
MZ22530419	MZ22518239	1	-1.0000	0.5747	-0.0055	-0.0552	0.0497	
MZ22519007	MZ22505741	1	0.3333	0.9374	0.9583	0.8619	0.0964	
MZ22520089	MZ22501396	26	-0.1608	0.3577	0.0098	0.2398	-0.2301	
MZ22514717	MZ22520014	37	0.4934	0.9123	0.8578	0.7328	0.1251	
MZ22517720	MZ22521585	9	0.7124	0.7305	0.6918	0.7204	-0.0286	
MZ22522390	MZ22521449	12	0.9691	0.9681	1.0000	0.9685	0.0315	
MZ22505011	MZ22517496	1	0.3429	0.3622	0.3047	0.3476	-0.0429	
MZ22506686	MZ22500060	111	0.0979	0.2134	0.1118	0.1779	-0.0661	
MZ22514896	MZ22529743	3	0.7571	0.1316	0.5462	0.6737	-0.1274	
MZ22529094	MZ22504879	1	-0.5000	0.8160	0.8497	0.7063	0.1434	
MZ22521809	MZ22515563	1	0.7733	0.6969	0.6577	0.7306	-0.0729	
MZ22504460	MZ22520075	35	0.3599	-0.2777	0.9308	0.2688	0.6620	
MZ22501052	MZ22530286	29	0.4365	0.1780	0.5245	0.4093	0.1152	
MZ22520608	MZ22521131	20	0.9709	0.8928	1.0000	0.9339	0.0661	
MZ22507077	MZ22508320	36	0.8783	0.8863	0.9391	0.8823	0.0568	
MZ22515280	MZ22507553	17	0.9586	0.9244	0.9740	0.9420	0.0320	
MZ22530201	MZ22504940	24	0.7188	0.6513	0.9562	0.6571	0.2991	
MZ22531126	MZ22530552	4	0.1168	0.2759	0.6799	0.1963	0.4835	
MZ22523000	MZ22505804	81	0.2265	0.6334	0.9550	0.5358	0.4193	
MZ22527824	MZ22527905	4	0.0316	0.6969	0.9376	0.3642	0.5734	
MZ22522267	MZ22516330	3	0.8861	0.7249	0.6148	0.7977	-0.1829	
MZ22504337	MZ22522230	110	0.1841	0.2153	0.0855	0.1928	-0.1073	
MZ22515763	MZ22502782	41	0.3312	0.1661	0.0366	0.2255	-0.1889	
MZ22502149	MZ22506591	24	0.2636	0.7864	0.2090	0.3992	-0.1902	
MZ22525435	MZ22504637	2	0.8781	0.9956	0.9630	0.9564	0.0065	
MZ22518080	MZ22501172	1	0.5156	0.9972	0.6339	0.7706	-0.1367	
MZ22527962	MZ22500052	36	0.0449	0.0593	0.2894	0.0579	0.2315	
MZ22528090	MZ22513957	2	0.9558	0.7954	0.9545	0.8099	0.1446	
MZ22527382	MZ22522975	28	0.8821	0.8879	1.0000	0.8853	0.1147	
MZ22508829	MZ22516936	2	0.7436	0.4081	0.3354	0.6318	-0.2964	
MZ22526492	MZ22527418	1	-0.3333	-0.6667	-0.3666	-0.5000	0.1334	
MZ22520631	MZ22510254	24	0.1314	0.8622	0.5517	0.6961	-0.1444	
MZ22504488	MZ22528205	4	0.4744	-0.0755	0.0533	0.3369	-0.2836	
MZ22512397	MZ22505153	32	0.8224	0.9415	1.0000	0.8803	0.1197	
MZ22524614	MZ22523848	9	0.3362	-0.2650	-0.3338	-0.0074	-0.3265	
MZ22512973	MZ22501339	2	0.8522	0.8394	0.8089	0.8452	-0.0363	
MZ22512940	MZ22525510	9	0.9691	0.8893	0.9677	0.9305	0.0372	
MZ22510437	MZ22528407	12	-0.1071	-1.0000	0.6531	-0.2347	0.8878	
MZ22515798	MZ22518135	1	0.5632	0.3090	0.1238	0.4530	-0.3292	
MZ22513066	MZ22502166	9	0.8630	0.6020	0.5419	0.7288	-0.1869	
MZ22509827	MZ22512067	28	0.9161	0.9338	0.9800	0.9239	0.0561	
MZ22500063	MZ22528592	26	-0.1391	0.2095	-0.1937	-0.1236	-0.0701	
MZ22500629	MZ22509326	42	0.7900	0.8566	0.9856	0.8213	0.1644	
MZ22529747	MZ22501511	12	0.3712	0.3312	0.2607	0.3401	-0.0794	
MZ22518080	MZ22528288	9	0.5156	0.6766	0.9495	0.5335	0.4160	
MZ22526594	MZ22529098	6	0.3340	0.3072	0.1957	0.3233	-0.1276	
MZ22507834	MZ22522577	75	0.0973	0.2411	0.8882	0.1332	0.7550	
MZ22525368	MZ22523606	109	0.6418	0.5875	0.9290	0.6076	0.3214	
MZ22526364	MZ22505335	1	-0.3333	0.5546	0.3393	0.3770	-0.0377	
MZ22501648	MZ22516446	11	0.9663	0.7595	0.8737	0.8758	-0.0022	
MZ22526586	MZ22503145	40	0.1647	0.5666	0.7830	0.5142	0.2688	
MZ22509954	MZ22510816	6	0.8228	0.6375	0.5855	0.6761	-0.0906	
MZ22528318	MZ22500638	24	-1.0000	0.5502	0.9790	0.4210	0.5580	
MZ22529372	MZ22522514	6	0.0253	0.1016	0.1389	0.0711	0.0678	
MZ22500333	MZ22509005	54	0.0695	0.2114	0.0814	0.0897	-0.0083	
MZ22505832	MZ22505724	32	0.8417	0.9427	1.0000	0.8894	0.1106	
MZ22517759	MZ22516706	2	0.2864	-0.0641	0.0102	0.0294	-0.0192	
MZ22506346	MZ22522188	19	0.9250	0.5085	0.8621	0.7527	0.1094	
MZ22521019	MZ22529108	2	0.0163	0.8833	0.0785	0.1740	-0.0954	
MZ22530371	MZ22529417	2	0.2942	0.7119	0.1099	0.5031	-0.3931	
MZ22505924	MZ22518310	32	0.2252	0.2299	0.3484	0.2267	0.1217	
MZ22528398	MZ22511082	2	-0.5000	0.4155	0.0398	0.0493	-0.0095	
MZ22509854	MZ22502334	87	0.4867	0.4789	0.8839	0.4826	0.4013	
MZ22530661	MZ22528946	2	-0.1275	-1.0000	-0.5605	-0.5638	0.0032	
