F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s 	 s12 	 s12-s 
MZ22507121	MZ22500770	0	1.0000	0.4071	0.4520	0.7120	-0.2600	
MZ22512876	MZ22502366	0	0.8507	0.0520	0.1100	0.4513	-0.3414	
MZ22530925	MZ22517086	0	0.9746	0.9781	0.9414	0.9777	-0.0363	
MZ22504085	MZ22503488	0	0.7331	0.9444	0.8074	0.8387	-0.0314	
MZ22525602	MZ22503825	0	0.6667	0.3644	0.3141	0.4056	-0.0915	
MZ22500572	MZ22505713	0	0.4638	0.1933	-0.1839	0.2871	-0.4710	
MZ22500469	MZ22513210	0	0.5976	1.0000	0.7342	0.7424	-0.0082	
MZ22524870	MZ22507617	0	0.5833	-0.1312	-0.0133	0.2118	-0.2251	
MZ22508672	MZ22508255	0	1.0000	0.0884	0.4072	0.5442	-0.1370	
MZ22529784	MZ22526143	0	1.0000	0.6348	0.7618	0.7809	-0.0191	
MZ22512658	MZ22517983	0	1.0000	0.0986	0.2701	0.5493	-0.2792	
MZ22518342	MZ22507744	0	0.1086	1.0000	0.4665	0.7148	-0.2482	
MZ22513486	MZ22502854	0	0.5043	1.0000	0.5569	0.7667	-0.2099	
MZ22510115	MZ22523939	0	0.4560	-0.2657	-0.1223	0.2395	-0.3618	
MZ22527482	MZ22513276	0	-0.1465	1.0000	0.4245	0.6178	-0.1933	
MZ22527231	MZ22530022	0	0.6667	0.0000	0.5000	0.5000	-0.0000	
MZ22521616	MZ22528439	0	0.9313	0.2321	0.6515	0.8264	-0.1749	
MZ22502428	MZ22505814	0	0.8125	1.0000	0.9091	0.9091	0.0000	
MZ22508246	MZ22522412	0	1.0000	-0.0232	0.4688	0.6711	-0.2023	
MZ22528590	MZ22506192	0	-0.3333	0.5052	-0.1369	0.1458	-0.2827	
MZ22517955	MZ22527393	0	0.9273	0.4286	0.7661	0.7876	-0.0216	
MZ22518795	MZ22521385	0	0.6991	1.0000	0.7020	0.8412	-0.1392	
MZ22521904	MZ22526424	0	0.6429	0.1429	0.4762	0.4762	-0.0000	
MZ22517931	MZ22507271	0	0.6000	0.8527	0.7597	0.7953	-0.0356	
MZ22510140	MZ22523684	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22511441	MZ22516760	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22512473	MZ22521450	0	0.8947	1.0000	0.9091	0.9091	-0.0000	
MZ22508793	MZ22501350	100	0.0419	0.1777	0.3111	0.1262	0.1849	
MZ22525159	MZ22515865	0	0.8602	0.1793	0.4142	0.6219	-0.2077	
MZ22502519	MZ22508867	29	0.2218	0.9121	0.5512	0.5355	0.0156	
MZ22503042	MZ22511875	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22503940	MZ22521876	0	0.9337	0.9286	0.9004	0.9314	-0.0310	
MZ22507401	MZ22511847	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22513637	MZ22523815	35	0.8504	0.8601	0.9180	0.8539	0.0642	
MZ22518006	MZ22516481	0	0.8726	0.0744	0.2343	0.5121	-0.2778	
MZ22520857	MZ22506375	0	1.0000	0.2110	0.3113	0.6055	-0.2942	
MZ22501864	MZ22522144	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22501554	MZ22503298	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22516487	MZ22510002	0	0.7647	0.6386	0.6946	0.7125	-0.0180	
MZ22504325	MZ22506037	0	0.9720	0.7053	0.7996	0.8386	-0.0390	
MZ22522580	MZ22522319	0	0.2500	0.9375	0.8000	0.8000	0.0000	
MZ22502915	MZ22524458	0	0.7545	-0.1123	0.5706	0.6661	-0.0954	
MZ22503192	MZ22523160	0	0.5539	0.9331	0.5239	0.7435	-0.2196	
MZ22528426	MZ22500004	4	0.1628	0.6321	0.4725	0.5874	-0.1149	
MZ22500961	MZ22525083	0	0.6306	-0.2618	0.3459	0.4075	-0.0616	
MZ22508532	MZ22515260	0	0.8524	1.0000	0.8451	0.9400	-0.0949	
MZ22510429	MZ22521572	0	1.0000	0.6509	0.8584	0.8753	-0.0169	
MZ22500225	MZ22521054	0	0.0387	1.0000	0.2531	0.5194	-0.2662	
MZ22527471	MZ22514807	0	0.2500	1.0000	0.8696	0.8696	0.0000	
MZ22514159	MZ22512907	0	0.7500	0.7089	0.7213	0.7333	-0.0120	
MZ22522603	MZ22511691	0	0.0000	0.9438	0.4400	0.4576	-0.0176	
MZ22515955	MZ22524063	15	0.3983	0.8800	0.4479	0.6947	-0.2468	
MZ22511167	MZ22503864	0	1.0000	0.2845	0.4006	0.6525	-0.2519	
MZ22530922	MZ22528907	0	0.0000	0.0000	0.0000	0.0000	0.0000	
MZ22531116	MZ22514088	0	0.0000	0.9412	0.8421	0.8421	-0.0000	
MZ22525959	MZ22516440	0	0.9573	0.7273	0.8359	0.8561	-0.0202	
MZ22517139	MZ22511276	0	0.8255	0.8000	0.7906	0.8127	-0.0221	
MZ22525509	MZ22521587	0	0.4286	-0.1779	0.0548	0.2466	-0.1918	
MZ22508488	MZ22518316	0	0.6106	0.9692	0.6470	0.7688	-0.1219	
MZ22504381	MZ22525535	4	0.1202	0.6301	0.0073	0.3163	-0.3090	
