F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s 	 s12 	 s12-s 
MZ22528451	MZ22518827	0	0.1865	1.0000	0.7967	0.9144	-0.1177	
MZ22529683	MZ22515461	0	0.0000	0.9715	0.8602	0.8636	-0.0034	
MZ22529186	MZ22509949	0	-0.5000	0.9803	0.8223	0.8245	-0.0022	
MZ22528990	MZ22510508	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22529923	MZ22505571	0	0.0000	0.8750	0.7778	0.7778	0.0000	
MZ22528255	MZ22523467	0	0.1653	0.9120	0.6371	0.7460	-0.1089	
MZ22528184	MZ22523900	0	-1.0000	1.0000	0.7895	0.7895	0.0000	
MZ22529086	MZ22501259	0	0.0000	0.6842	0.6190	0.6190	0.0000	
MZ22530441	MZ22522186	0	0.0000	0.6875	0.6111	0.6111	0.0000	
MZ22529378	MZ22516371	0	0.0000	1.0000	0.8947	0.8947	0.0000	
MZ22528467	MZ22502699	0	0.0000	0.1154	0.0069	0.1033	-0.0964	
MZ22529217	MZ22500473	0	1.0000	0.9668	0.9665	0.9703	-0.0037	
MZ22530522	MZ22518451	0	0.0000	1.0000	0.8947	0.8947	0.0000	
MZ22521153	MZ22519748	0	0.1678	1.0000	0.6902	0.8613	-0.1711	
MZ22529984	MZ22521232	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22530026	MZ22512546	0	-1.0000	0.9412	0.7368	0.7368	-0.0000	
MZ22530787	MZ22508124	0	0.4338	0.6824	0.4801	0.6562	-0.1761	
MZ22528423	MZ22512343	0	0.0000	0.2010	0.0840	0.1787	-0.0947	
MZ22527979	MZ22517169	0	0.7727	0.8125	0.6550	0.8081	-0.1531	
MZ22528652	MZ22513151	0	0.2648	0.8334	0.6260	0.7702	-0.1442	
MZ22531113	MZ22519724	0	0.0000	0.7500	0.6667	0.6667	0.0000	
MZ22528020	MZ22506457	0	0.6442	0.8823	0.7422	0.8573	-0.1151	
MZ22529948	MZ22516371	0	0.9782	1.0000	0.9588	0.9977	-0.0389	
MZ22528693	MZ22508210	0	-0.1378	0.9375	0.7279	0.8180	-0.0902	
MZ22530343	MZ22526039	0	-1.0000	1.0000	0.7778	0.7778	0.0000	
MZ22529550	MZ22509573	0	0.1329	1.0000	0.7853	0.9037	-0.1183	
MZ22530161	MZ22506467	0	0.7390	0.9453	0.7585	0.9144	-0.1559	
MZ22530168	MZ22514984	0	0.5000	1.0000	0.9000	0.9000	0.0000	
MZ22530624	MZ22514226	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22530008	MZ22515134	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22521951	MZ22506801	0	0.7506	0.4446	0.2152	0.5126	-0.2974	
MZ22530964	MZ22513694	0	0.4485	1.0000	0.7912	0.9387	-0.1476	
MZ22528531	MZ22509573	0	-0.3538	1.0000	0.7820	0.8496	-0.0676	
MZ22529217	MZ22517667	0	1.0000	0.7273	0.7500	0.7500	0.0000	
MZ22529432	MZ22506483	0	1.0000	0.8750	0.8889	0.8889	0.0000	
MZ22531235	MZ22516726	0	-0.5000	0.7162	0.5771	0.5811	-0.0040	
MZ22529981	MZ22516306	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22529837	MZ22514582	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22530638	MZ22514741	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22528560	MZ22511307	0	0.0000	0.7500	0.6667	0.6667	0.0000	
MZ22530822	MZ22520937	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22529317	MZ22505271	0	0.0000	0.7780	0.6189	0.6551	-0.0363	
MZ22527307	MZ22502318	0	0.8342	-0.1063	-0.0605	0.0818	-0.1423	
MZ22525923	MZ22521049	0	-1.0000	0.8750	0.6667	0.6667	0.0000	
MZ22522862	MZ22510734	0	-0.0453	0.3025	0.0814	0.2639	-0.1825	
MZ22515650	MZ22506825	0	0.0410	0.2394	0.0581	0.2185	-0.1604	
MZ22531256	MZ22515461	0	0.0000	0.9715	0.8602	0.8636	-0.0034	
MZ22528029	MZ22524979	0	-0.3330	0.7778	0.6035	0.6667	-0.0632	
MZ22529584	MZ22518090	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22530641	MZ22513498	0	0.0000	0.2532	0.1914	0.2251	-0.0337	
MZ22528888	MZ22500473	0	1.0000	0.9668	0.9665	0.9703	-0.0037	
MZ22530348	MZ22501068	0	-0.0655	0.1222	-0.0879	0.1024	-0.1903	
MZ22525550	MZ22519538	0	0.9901	0.9534	0.9344	0.9575	-0.0231	
MZ22529209	MZ22517252	0	0.1091	1.0000	0.7960	0.9062	-0.1102	
MZ22530797	MZ22507474	0	0.1648	0.3256	0.1063	0.3078	-0.2015	
MZ22526392	MZ22526148	0	0.4809	1.0000	0.7584	0.9180	-0.1596	
MZ22529030	MZ22502937	0	-0.5000	0.7921	0.6441	0.6485	-0.0044	
MZ22529280	MZ22519206	0	-0.5000	1.0000	0.8333	0.8333	0.0000	
MZ22528468	MZ22508592	0	0.1047	0.7553	0.5598	0.6903	-0.1305	
MZ22528329	MZ22510508	0	0.1113	1.0000	0.7852	0.9013	-0.1161	
MZ22529701	MZ22508335	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22528806	MZ22521232	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22527965	MZ22524257	0	0.1326	0.9547	0.7397	0.8633	-0.1237	
MZ22523425	MZ22500012	0	-1.0000	0.0669	-0.1576	-0.0516	-0.1060	
MZ22528876	MZ22517667	0	1.0000	0.7273	0.7500	0.7500	0.0000	
MZ22528701	MZ22524310	0	0.1414	1.0000	0.8151	0.9182	-0.1032	
MZ22528458	MZ22502782	0	1.0000	0.1661	0.1736	0.2588	-0.0851	
MZ22528939	MZ22510709	0	1.0000	0.8823	0.8947	0.8947	0.0000	
MZ22528645	MZ22521858	0	0.1186	1.0000	0.7852	0.9021	-0.1169	
MZ22529436	MZ22503036	0	0.1027	0.9159	0.7004	0.8256	-0.1251	
MZ22529212	MZ22509962	0	0.0000	0.4375	0.3889	0.3889	0.0000	
MZ22529699	MZ22522009	0	-0.5000	0.8125	0.6667	0.6667	0.0000	
MZ22528315	MZ22517667	0	0.0000	0.7273	0.6667	0.6667	0.0000	
MZ22531003	MZ22515815	0	1.0000	0.8125	0.8333	0.8333	0.0000	
MZ22526862	MZ22515165	0	0.5186	0.4992	0.1149	0.5078	-0.3929	
MZ22528749	MZ22514984	0	0.7943	1.0000	0.8968	0.9771	-0.0803	
MZ22527954	MZ22521639	0	0.0765	0.8750	0.6737	0.7863	-0.1125	
MZ22529931	MZ22521621	0	0.0000	0.6875	0.6111	0.6111	0.0000	
MZ22527954	MZ22520900	0	0.0765	0.8750	0.6737	0.7863	-0.1125	
MZ22529837	MZ22514741	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22530685	MZ22520937	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22528125	MZ22514608	0	0.0684	0.8235	0.6381	0.7440	-0.1060	
MZ22530015	MZ22511122	0	0.0000	0.9375	0.8333	0.8333	0.0000	
MZ22528303	MZ22501259	0	0.8048	0.6842	0.5482	0.6957	-0.1475	
MZ22530412	MZ22523388	0	0.0000	0.9144	0.7662	0.7700	-0.0039	
MZ22529147	MZ22507425	0	1.0000	0.9222	0.9216	0.9308	-0.0092	
MZ22529301	MZ22508844	0	-0.4207	0.9083	0.6966	0.7606	-0.0640	
MZ22530172	MZ22524183	0	0.0000	1.0000	0.8947	0.8947	0.0000	
MZ22530554	MZ22517667	0	0.0000	0.7273	0.6667	0.6667	0.0000	
MZ22529105	MZ22509497	0	1.0000	0.9375	0.9444	0.9444	0.0000	
MZ22527339	MZ22505912	0	-1.0000	0.6822	0.4893	0.4953	-0.0060	
MZ22524376	MZ22526407	0	0.1610	1.0000	0.6900	0.8602	-0.1701	
MZ22530139	MZ22525369	0	-0.5000	0.9375	0.7778	0.7778	0.0000	
MZ22529289	MZ22516306	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22529854	MZ22510902	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22528733	MZ22524183	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22528090	MZ22510709	0	0.9558	0.8823	0.8225	0.8901	-0.0675	
MZ22528468	MZ22522508	0	0.1047	1.0000	0.7851	0.9005	-0.1154	
MZ22529034	MZ22501277	0	-0.5000	0.6354	0.4847	0.5092	-0.0246	
MZ22529024	MZ22516868	0	-1.0000	1.0000	0.7778	0.7778	0.0000	
MZ22528730	MZ22517667	0	0.0000	0.7273	0.6667	0.6667	0.0000	
MZ22528875	MZ22502937	0	0.8598	0.7921	0.7113	0.7996	-0.0883	
MZ22530146	MZ22502371	0	1.0000	0.5783	0.5763	0.6166	-0.0404	
MZ22528541	MZ22501068	0	-0.2867	0.1222	-0.1711	0.0609	-0.2320	
MZ22529207	MZ22507845	0	0.0000	0.8104	0.7191	0.7251	-0.0060	
