F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s 	 s12 	 s12-s 
MZ22530061	MZ22523627	0	0.0000	0.5885	0.4237	0.4904	-0.0667	
MZ22509909	MZ22506143	0	0.1780	0.2928	-0.2961	0.2354	-0.5315	
MZ22503799	MZ22500141	0	1.0000	0.3670	0.4362	0.7106	-0.2745	
MZ22528051	MZ22508234	0	-0.5918	0.7189	0.3413	0.4567	-0.1154	
MZ22528360	MZ22503199	0	0.0000	0.4928	0.4002	0.4436	-0.0434	
MZ22506003	MZ22524146	0	0.1089	0.8902	0.0265	0.2865	-0.2599	
MZ22528726	MZ22529025	0	-0.5000	0.1624	-0.5405	-0.1688	-0.3717	
MZ22514386	MZ22524735	0	1.0000	0.5000	0.9048	0.9048	0.0000	
MZ22528488	MZ22505511	0	0.0000	0.8588	0.7579	0.7729	-0.0150	
MZ22519355	MZ22527881	0	1.0000	0.7692	0.9062	0.9062	0.0000	
MZ22514961	MZ22513934	0	0.9474	0.8721	0.8751	0.9130	-0.0378	
MZ22517980	MZ22508898	0	0.9444	1.0000	0.9722	0.9722	0.0000	
MZ22525571	MZ22524867	0	0.0000	0.3525	-0.1870	0.1567	-0.3436	
MZ22526140	MZ22527696	0	0.8500	0.2890	0.3761	0.6970	-0.3209	
MZ22502049	MZ22522794	0	0.9132	0.7143	0.7800	0.7921	-0.0122	
MZ22511405	MZ22516226	0	1.0000	0.2857	0.8000	0.8000	0.0000	
MZ22513672	MZ22529897	0	0.8889	1.0000	0.9000	0.9000	-0.0000	
MZ22504654	MZ22521877	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22512102	MZ22525579	0	0.9383	0.3038	0.5723	0.8003	-0.2281	
MZ22508331	MZ22507661	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22520318	MZ22509638	0	0.5000	0.5935	0.5373	0.5757	-0.0384	
MZ22511043	MZ22519513	0	1.0000	0.8799	0.9096	0.9416	-0.0320	
MZ22516190	MZ22514526	0	0.9328	1.0000	0.9535	0.9684	-0.0148	
MZ22514497	MZ22500734	0	0.3048	1.0000	0.5248	0.7683	-0.2435	
MZ22505668	MZ22529747	0	0.0284	0.3712	-0.0974	0.0569	-0.1544	
MZ22505871	MZ22530618	0	0.9474	-0.5000	0.8095	0.8095	-0.0000	
MZ22515383	MZ22527450	0	1.0000	-0.2500	0.7727	0.7727	0.0000	
MZ22511680	MZ22526967	0	1.0000	0.0000	0.8500	0.8500	0.0000	
MZ22529568	MZ22501889	0	1.0000	0.3647	0.3609	0.4282	-0.0673	
MZ22527533	MZ22529506	0	0.3182	-1.0000	-0.5050	-0.2091	-0.2959	
MZ22524468	MZ22519837	0	1.0000	-0.1126	0.5497	0.7219	-0.1722	
MZ22502132	MZ22507601	0	0.9474	1.0000	0.9730	0.9730	-0.0000	
MZ22502858	MZ22530826	0	0.2424	0.4122	0.0892	0.2603	-0.1711	
MZ22524422	MZ22526082	0	0.9171	0.9093	0.8065	0.9135	-0.1071	
MZ22507648	MZ22521215	0	0.8055	1.0000	0.8427	0.9085	-0.0658	
MZ22514864	MZ22525014	0	0.7917	0.1796	0.6030	0.7237	-0.1206	
MZ22531250	MZ22526841	0	0.0000	0.0708	-0.2768	0.0425	-0.3192	
MZ22528025	MZ22516744	0	0.0393	0.4324	0.0749	0.3609	-0.2861	
MZ22523755	MZ22530363	0	0.7568	-0.5000	0.6583	0.6730	-0.0148	
MZ22529581	MZ22504080	0	0.1909	0.8058	0.6202	0.7473	-0.1271	
MZ22526947	MZ22512310	0	0.6262	0.0009	0.0756	0.3526	-0.2770	
MZ22501864	MZ22500268	0	1.0000	0.0504	0.2944	0.5617	-0.2673	
MZ22529553	MZ22526159	0	1.0000	0.9004	0.8985	0.9170	-0.0184	
MZ22503895	MZ22529820	0	0.9909	0.0000	0.8908	0.8918	-0.0010	
MZ22501849	MZ22516759	0	0.9727	0.1048	0.6797	0.7196	-0.0399	
MZ22510631	MZ22526457	0	1.0000	0.9428	0.9400	0.9768	-0.0368	
MZ22508395	MZ22527114	0	0.9556	1.0000	0.9544	0.9758	-0.0214	
MZ22509659	MZ22517070	0	0.6694	0.8876	0.5728	0.7721	-0.1993	
MZ22516071	MZ22524167	0	0.5777	0.7428	0.4738	0.6570	-0.1832	
MZ22511772	MZ22502740	0	0.9229	0.9356	0.8757	0.9298	-0.0542	
MZ22527564	MZ22528558	0	0.9394	0.1069	0.6451	0.8113	-0.1662	
MZ22505040	MZ22504100	0	0.5000	0.1319	0.1827	0.4080	-0.2253	
MZ22516786	MZ22514871	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22528993	MZ22509699	0	-0.5000	0.7500	0.5714	0.5714	0.0000	
MZ22509869	MZ22506555	0	0.3540	1.0000	0.7130	0.7550	-0.0420	
MZ22519573	MZ22516495	0	0.8235	-0.2847	0.5137	0.5717	-0.0580	
MZ22506735	MZ22503367	0	0.9045	0.0599	0.1773	0.4943	-0.3170	
MZ22515378	MZ22530509	0	1.0000	-0.5000	0.8500	0.8500	0.0000	
MZ22524310	MZ22503799	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22523638	MZ22507330	0	1.0000	0.9952	0.9951	0.9975	-0.0024	
MZ22520573	MZ22500387	0	1.0000	0.8131	0.8948	0.9039	-0.0091	
MZ22512917	MZ22505962	0	1.0000	0.2723	0.3199	0.5998	-0.2798	
MZ22523197	MZ22528370	0	0.9567	0.1587	0.5819	0.7971	-0.2152	
MZ22500081	MZ22529901	0	0.5001	0.1608	0.3210	0.4692	-0.1482	
MZ22512063	MZ22518354	0	0.8072	0.8823	0.8034	0.8437	-0.0403	
MZ22513557	MZ22512947	0	0.9412	1.0000	0.9714	0.9714	-0.0000	
MZ22530361	MZ22507224	0	-1.0000	0.7094	0.4699	0.4957	-0.0258	
MZ22523727	MZ22505785	0	0.4341	1.0000	0.7395	0.9192	-0.1796	
MZ22508562	MZ22505851	0	0.8947	1.0000	0.9474	0.9474	-0.0000	
MZ22508376	MZ22521589	0	0.9819	0.0227	0.7166	0.7861	-0.0696	
MZ22525438	MZ22515339	0	0.0000	0.9237	0.7824	0.7852	-0.0028	
MZ22515545	MZ22501611	0	0.6665	1.0000	0.6627	0.8425	-0.1798	
MZ22524442	MZ22501157	0	0.6000	0.7778	0.7391	0.7391	-0.0000	
MZ22510161	MZ22528423	0	1.0000	0.0000	0.9000	0.9000	0.0000	
MZ22511790	MZ22527616	0	1.0000	0.2611	0.6294	0.7931	-0.1637	
MZ22523913	MZ22525935	0	0.9730	0.9501	0.9202	0.9616	-0.0414	
MZ22529701	MZ22506789	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22517110	MZ22528126	0	0.5514	-1.0000	0.3379	0.3881	-0.0502	
MZ22519522	MZ22521920	0	1.0000	0.6957	0.6888	0.9022	-0.2134	
MZ22504598	MZ22514285	0	0.8358	0.8604	0.7850	0.8481	-0.0631	
MZ22530469	MZ22517984	0	-0.5000	0.9215	0.7680	0.7719	-0.0039	
MZ22528812	MZ22518223	0	1.0000	0.8182	0.8571	0.8571	0.0000	
MZ22508726	MZ22504556	0	0.3050	1.0000	0.3459	0.6431	-0.2972	
MZ22504419	MZ22507455	0	1.0000	0.2530	0.5407	0.7939	-0.2532	
MZ22530984	MZ22504106	0	0.0000	0.1978	0.0301	0.1566	-0.1264	
MZ22510585	MZ22524797	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22520748	MZ22525782	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22523285	MZ22505965	0	0.9402	-0.1765	0.3457	0.5266	-0.1808	
MZ22503648	MZ22531000	0	0.9541	0.2943	0.7525	0.8847	-0.1321	
MZ22524588	MZ22525257	0	0.4233	0.9231	0.5411	0.6329	-0.0918	
MZ22528563	MZ22516213	0	-0.1250	0.8889	0.7046	0.7875	-0.0829	
MZ22501954	MZ22500292	0	0.9740	0.0650	0.2330	0.5195	-0.2865	
MZ22510827	MZ22525766	0	0.6378	1.0000	0.6348	0.6896	-0.0548	
MZ22525641	MZ22524623	0	0.9715	0.8810	0.8479	0.9184	-0.0706	
MZ22519703	MZ22524729	0	0.3618	1.0000	0.5699	0.8109	-0.2411	
MZ22521730	MZ22504676	0	0.9433	0.0922	0.2133	0.4927	-0.2794	
MZ22524538	MZ22508679	0	0.8023	1.0000	0.9226	0.9506	-0.0279	
MZ22531085	MZ22526524	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22518557	MZ22501321	0	0.6889	0.0046	-0.0457	0.2783	-0.3240	
MZ22518887	MZ22510828	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22523184	MZ22519483	0	0.8738	0.7950	0.7840	0.8344	-0.0504	
MZ22519760	MZ22506686	0	0.3500	0.0979	0.0990	0.2780	-0.1790	
MZ22502709	MZ22512599	0	0.0471	0.3657	-0.1975	0.1207	-0.3182	
MZ22521264	MZ22514944	0	0.2705	0.1939	-0.2120	0.2482	-0.4601	
MZ22529296	MZ22520680	0	0.0000	0.8101	0.6969	0.7021	-0.0052	
MZ22528290	MZ22508927	0	-0.0749	1.0000	0.8049	0.8925	-0.0876	
MZ22517524	MZ22503958	0	1.0000	0.8823	0.9412	0.9412	0.0000	
MZ22507661	MZ22528408	0	1.0000	0.6388	0.8228	0.9656	-0.1429	
MZ22519178	MZ22508240	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22500991	MZ22503785	0	0.8858	0.6443	0.6266	0.7683	-0.1417	
MZ22505103	MZ22525356	0	0.9671	0.7500	0.9213	0.9276	-0.0063	
MZ22500364	MZ22530589	0	0.1439	-0.5000	-0.0110	0.0795	-0.0906	
MZ22531249	MZ22523764	0	0.0000	0.0000	0.0000	0.0000	0.0000	
MZ22521013	MZ22531179	0	0.9568	0.0000	0.8064	0.8133	-0.0069	
MZ22517546	MZ22517602	0	0.6710	0.8325	0.5662	0.7550	-0.1887	
MZ22507896	MZ22526628	0	1.0000	0.0000	0.8571	0.8571	0.0000	
MZ22504845	MZ22500687	0	0.6290	0.1880	-0.0779	0.4085	-0.4864	
MZ22530746	MZ22521616	0	1.0000	0.9313	0.9308	0.9385	-0.0077	
MZ22522992	MZ22516061	0	0.9564	1.0000	0.9550	0.9788	-0.0238	
MZ22523800	MZ22531139	0	0.8564	0.0000	0.6292	0.6661	-0.0369	
